,RANK,NAT,SAIL NUMBER,SAILOR NAME,WS ID,UNKNOW,Q1,Q2,Q3,Q4,Q5,F1,F2,TOTAL,NETT
0,1,THA,212818,CHUSITT PUNJAMALA,THACP5,NON EU,9-0-0,13-0-0,12-0-0,22-0-0,28-1-0,2-0-0,4-0-0,90,62
1,2,ESP,218006,SAMUEL BENEYTO,ESPSB18,Q,17-0-0,20-0-0,7-0-0,21-1-0,11-0-0,9-0-0,1-0-0,86,65
2,3,DEN,210987,JOHAN SCHUBERT,DENJS23,Q,16-0-0,10-0-0,33-1-0,23-0-0,12-0-0,1-0-0,11-0-0,106,73
3,4,TUR,213512,YIGIT YALCIN CITAK,TURYC3,Q,9-0-0,28-1-0,23-0-0,24-0-0,1-0-0,13-0-0,19-0-0,117,89
4,5,SUI,191817,GAUTHIER VERHULST,SUIGV8,NO,21-0-0,5-0-0,28-0-0,34-1-0,20-0-0,6-0-0,15-0-0,129,95
5,6,FRA,211191,THOMAS FLACHON,FRATF10,Q,25-0-0,26-0-0,34-1-0,18-0-0,6-0-0,18-0-0,3-0-0,130,96
6,7,ITA,213031,ATTILIO BORIO,ITAAB230,Q,29-0-0,6-0-0,47-1-RET,19-0-0,25-0-0,10-0-0,7-0-0,143,96
7,8,GBR,223070,ALASTAIR BROWN,GBRAB199,Q,22-0-0,39-1-0,21-0-0,15-0-0,20-0-0,20-0-0,2-0-0,139,100
8,9,SLO,221181,LUKA ZABUKOVEC,SLOLZ1,NO,27-0-0,19-0-0,3-0-0,26-0-0,23-0-0,3-0-0,31-1-0,132,101
9,10,FIN,211267,OTTO DAHLBERG,FINOD2,Q,37-1-0,37-0-0,4-0-0,10-0-0,19-0-0,22-0-0,9-0-0,138,101
10,11,LTU,223708,MARTIS PAJARSKAS,LTUMP1,NO,8-0-0,18-0-0,29-0-0,13-0-0,22-0-0,33-1-0,13-0-0,136,103
11,12,NED,211192,WILLEM WIERSEMA,NEDWW5,Q,32-1-0,29-0-0,15-0-0,16-0-0,22-0-0,4-0-0,21-0-0,139,107
12,13,DEN,218709,KENNETH FREDERIKSEN FREDERIKSEN,DENKF5,Q,7-0-0,16-0-0,29-0-0,34-1-0,33-0-0,12-0-0,10-0-0,141,107
13,14,FIN,224484,NOOA LAUKKANEN,FINNL2,Q,6-0-0,25-0-0,33-0-0,24-0-0,15-0-0,5-0-0,46-1-RET,154,108
14,15,MNE,224085,ILIJA MARKOVIÆ,MNEIM1,Q,40-1-0,35-0-0,17-0-0,31-0-0,11-0-0,8-0-0,6-0-0,148,108
15,16,CRO,222303,ANTUN TOMASEVIC,CROAT4,Q,33-1-0,23-0-0,32-0-0,7-0-0,27-0-0,16-0-0,5-0-0,143,110
16,17,ITA,219281,GIACOMO MUSONE,ITAGM123,Q,25-0-0,19-0-0,19-0-0,5-0-0,26-1-0,25-0-0,17-0-0,136,110
17,18,SWE,216181,WILHELM KARK,SWEWK1,Q,47-0-DNE,25-1-0,13-0-0,11-0-0,16-0-0,7-0-0,18-0-0,137,112
18,19,NED,221710,THOMAS VAN OFWEGEN,NEDTV30,Q,18-0-0,27-0-0,47-1-RET,24-0-0,22-0-0,11-0-0,12-0-0,161,114
19,20,ESP,218044,MARIO PLOMER QUIROGA,ESPMP65,Q,25-0-0,7-0-0,20-0-0,28-1-0,19-0-0,17-0-0,27-0-0,143,115
20,21,ESP,217191,JAVIER SEGUI,GBRJS208,Q,31-0-0,47-1-BFD,21-0-0,18-0-0,17-0-0,15-0-0,14-0-0,163,116
21,22,GBR,219895,JAMES PERCIVAL COOKE,GBRJP113,Q,14-0-0,47-1-BFD,7-0-0,31-0-0,10-0-0,46-0-RET,16-0-0,171,124
22,23,GRE,221106,PANAGIOTIS SPANOS,GREPS18,NO,19-0-0,27-0-0,27-0-0,25-0-0,18-0-0,32-1-0,8-0-0,156,124
23,24,FRA,219101,MARTIN KOWALSKI,FRAMK8,Q,3-0-0,27-0-0,28-0-0,27-0-0,14-0-0,30-1-0,26-0-0,155,125
24,25,GER,211217,TIM CONRADI,GERTC4,Q,26-0-0,8-0-0,16-0-0,47-1-UFD,27-0-0,23-0-0,25-0-0,172,125
25,26,ITA,219369,ROBERTO RINALDI,ITARR1646,Q,23-0-0,38-1-0,18-0-0,14-0-0,26-0-0,19-0-0,32-0-0,170,132
26,27,ESP,219493,VIKTOR KATELIEV,BULVK1,Q,8-0-0,11-0-0,20-0-0,28-0-0,33-0-0,38-1-0,34-0-0,172,134
27,28,GRE,222515,ALEXANDROS IOANNIDIS,GREAI4,NO,13-0-0,16-0-0,13-0-0,23-0-0,37-0-0,34-0-0,38-1-0,174,136
28,29,ESP,217175,ADOLFO VIRGILI PASQUAL DEL RIQUELME,ESPAV27,Q,21-0-0,29-0-0,16-0-0,14-0-0,38-1-0,26-0-0,30-0-0,174,136
