,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,F4,M/F5,TOTAL,NETT
0,1ST,AUS,199015,MATT WEARN,AUSMW34,6.0-0-0-0-0,1.0-0-0,2.0-0-0,2.0-0-0,1.0-0-0,3.0-0-0,11.0-1-0,1.0-0-0,2.0-0-0,4.0-0-0,2.0-0-0,35.0,24.0
1,2ND,NOR,224454,HERMANN TOMASGAARD,NORHT2,1.0-0-0-0-0,1.0-0-0,1.0-0-0,5.0-0-0,5.0-0-0,7.0-0-0,1.0-0-0,6.0-0-0,3.0-0-0,21.0-1-0,4.0-0-0,55.0,34.0
2,3RD,GBR,210139,MICHAEL BECKETT,GBRMB112,17.0-1-30%-0-0,6.0-0-0,1.0-0-0,3.0-0-0,1.0-0-0,1.0-0-0,3.0-0-0,2.0-0-0,12.0-0-0,2.0-0-0,10.0-0-0,58.0,41.0
3,4TH,GER,191131,PHILIPP BUHL,GERPB8,3.0-0-0-0-0,1.0-0-0,5.0-0-0,5.0-0-0,11.0-0-0,38.0-1-0,10.0-0-0,9.0-0-0,6.0-0-0,1.0-0-0,14.0-0-0,103.0,65.0
4,5TH,NZL,219921,THOMAS SAUNDERS,NZLTS5,4.0-0-0-0-0,11.0-0-0,9.0-0-0,4.0-0-0,2.0-0-0,4.0-0-0,9.0-0-0,13.0-0-0,19.0-1-0,3.0-0-0,12.0-0-0,90.0,71.0
5,6TH,CYP,212431,PAVLOS KONTIDES,CYPPK1,14.0-0-0-0-0,3.0-0-0,8.0-0-0,10.0-0-0,10.0-0-0,12.0-0-0,52.0-1-BFD,5.0-0-0,1.0-0-0,8.0-0-0,8.0-0-0,131.0,79.0
6,7TH,FRA,216112,JEAN BAPTISTE BERNAZ,FRAJB13,6.0-0-0-0-0,2.0-0-0,4.0-0-0,6.0-0-0,11.0-0-0,4.0-0-0,12.0-0-0,17.0-1-0,13.0-0-0,10.0-0-0,18.0-0-0,103.0,86.0
7,8TH,CRO,216063,FILIP JURIIC,CROFJ1,2.0-0-0-0-0,3.0-0-0,4.0-0-0,1.0-0-0,16.0-0-0,15.0-0-0,39.0-1-0,3.0-0-0,15.0-0-0,26.0-0-0,6.0-0-0,130.0,91.0
8,9TH,IRL,222017,FINN LYNCH,IRLFL10,8.0-0-0-0-0,4.0-0-0,6.0-0-0,8.0-0-0,5.0-0-0,6.0-0-0,52.0-1-BFD,12.0-0-0,21.0-0-0,9.0-0-0,16.0-0-0,147.0,95.0
9,10TH,AUS,219896,LUKE ELLIOTT,AUSLE3,1.0-0-0-0-0,2.0-0-0,5.0-0-0,10.0-0-0,18.0-0-0,10.0-0-0,18.0-0-0,20.0-1-0,5.0-0-0,12.0-0-0,20.0-0-0,121.0,101.0
10,11TH,NED,223054,DUKO BOS,NEDDB9,11.0-0-0-0-0,14.0-0-0,15.0-0-0,10.0-0-0,2.0-0-0,19.0-1-0,13.0-0-0,15.0-0-0,8.0-0-0,6.0-0-0,-0-0,113.0,94.0
11,12TH,HUN,213119,JONATAN VADNAI,HUNJV4,13.0-0-0-0-0,7.0-0-0,2.0-0-0,3.0-0-0,52.0-1-BFD,2.0-0-0,4.0-0-0,10.0-0-0,25.0-0-0,32.0-0-0,-0-0,150.0,98.0
12,13TH,GUA,211981,JUAN MAEGLI,GUAJM2,6.0-0-0-0-0,10.0-0-0,5.0-0-0,31.0-1-0,11.0-0-0,3.0-0-0,7.0-0-0,22.0-0-0,7.0-0-0,27.0-0-0,-0-0,129.0,98.0
13,14TH,GER,211241,NIK AARON WILLIM,GERNW5,19.0-0-0-0-0,4.0-0-0,10.0-0-0,7.0-0-0,5.0-0-0,5.0-0-0,52.0-1-BFD,27.0-0-0,4.0-0-0,17.0-0-0,-0-0,150.0,98.0
14,15TH,NZL,214137,GEORGE GAUTREY,NZLGG34,3.0-0-0-0-0,19.0-0-30%,3.0-0-0,18.0-0-0,6.0-0-0,5.0-0-0,14.0-0-0,11.0-0-0,52.0-1-BFD,20.0-0-0,-0-0,151.0,99.0
15,16TH,POR,223215,EDUARDO MARQUES,POREM3,29.0-1-0-0-0,6.0-0-0,6.0-0-0,6.0-0-0,14.0-0-0,11.0-0-0,21.0-0-0,7.0-0-0,10.0-0-0,18.0-0-0,-0-0,128.0,99.0
16,17TH,CRO,212013,TONCI STIPANOVIC,CROTS1,23.0-0-0-0-0,6.0-0-0,13.0-0-0,16.0-0-0,3.0-0-0,10.0-0-0,2.0-0-0,19.0-0-0,9.0-0-0,51.0-1-0,-0-0,152.0,101.0
