,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10F,11F,12F,13F,14F,15F,16F,17F,18F,19F,QF,SM,F
0,0,0,0,1,ITA,150,,FIAMME ORO,NICOLO RENNA,FIAMME ORO,OPEN,51.0,171.0,1-0-0,1-0-0,31-1-0,3-0-0,11-1-0,4-0-0,2-0-0,3-0-0,11-0-0,2-0-0,1-0-0,3-0-0,4-0-0,18-1-0,3-0-0,1-0-0,60-1-DNC,8-0-0,4-0-0,nan-0-0,1.0-0-0,1.0-0-0
1,1,1,1,2,POL,182,,"KASA STEFCZYKA, ENERGA SA Z GRUPY ORLEN, COLDSTORE GDAŃSK, SOPOT, GRUPA PLICHTA, BFI, CENTRALNY WOJSKOWY ZESPÓŁ SPORTOWY, SOPOCKI KLUB ŻEGLARSKI, POLSKI ZWIĄZEK ŻEGLARSKI",PAWEŁ TARNOWSKI,SOPOCKI KLUB ŻEGLARSKI || CENTRALNY WOJSKOWY ZESPÓŁ SPORTOWY,OPEN,104.0,250.0,3-0-0,5-0-0,1-0-0,5-0-0,3-0-0,7-0-0,9-0-0,42-1-0,31-1-0,48-1-0,9-0-0,14-0-0,15-0-0,12-0-0,5-0-0,7-0-0,25-1-0,7-0-0,2-0-0,2-0-0,2.0-0-0,2.0-0-0
2,2,2,2,3,NED,55,,TEAM ALLIANZ,LUUC VAN OPZEELAND,,OPEN,34.0,102.0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,8-1-0,1-0-0,15-1-0,2-0-0,1-0-0,8-0-0,2-0-0,11-1-0,9-0-0,1-0-0,3-0-0,1-0-0,1-0-0,34-1-0,nan-0-0,nan-0-0,3.0-0-0
3,3,3,3,4,AUS,81,,SLAKE,GRAE MORRIS,WOOLAHRAH SAILING CLUB,U23,121.0,201.0,5-0-0,1-0-0,1-0-0,5-0-0,2-0-0,2-0-0,8-1-0,7-0-0,9-1-0,31-1-0,15-0-0,21-0-0,8-0-0,3-0-0,17-0-0,7-0-0,4-0-0,23-0-0,32-1-0,1-0-0,3.0-0-0,nan-0-0
4,4,4,4,5,NED,9,,TEAM ALLIANZ,KIRAN BADLOE,TEAM ALLIANZ,OPEN,70.0,172.0,3-0-0,3-0-0,17-1-0,41-1-BFD,10-0-0,2-0-0,3-0-0,10-0-0,2-0-0,21-1-0,6-0-0,8-0-0,3-0-0,23-1-0,1-0-0,3-0-0,2-0-0,2-0-0,12-0-0,nan-0-0,4.0-0-0,nan-0-0
5,5,5,5,6,FRA,465,,BANQUE POPULAIRE / SOORUZ / ARMéE DE CHAMPIONS,NICOLAS GOYARD,ACPV,OPEN,71.0,144.0,9-1-0,5-1-0,5-0-0,3-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,10-0-0,30-1-0,26-0-0,29-1-0,5-0-0,5-0-0,1-0-0,7-0-0,3-0-0,1-0-0,3-0-0,nan-0-0,nan-0-0
6,6,6,6,7,FRA,16,,BANQUE POPULAIRE / FORWARD WIP / SI BREEZE / OSS 56,POULIQUEN YUN,CENTRE NAUTIQUE DE LORIENT,OPEN,139.0,246.0,7-0-0,13-0-0,9-0-0,13-0-0,29-1-0,5-0-0,4-0-0,12-0-0,24-1-0,11-0-0,3-0-0,7-0-0,10-0-0,7-0-0,19-0-0,27-1-0,13-0-0,27-1-0,6-0-0,4-0-0,nan-0-0,nan-0-0
7,7,7,7,8,ISR,60,,"SEMPERIT, LEVIATHAN",TOM REUVENY,BNEI HERTZLIYA,OPEN,120.5,216.5,3-0-0,3-0-0,3-0-0,9-1-0,7-0-0,5-0-0,6-0-0,21-1-0,7-0-0,950-0-RDG,5-0-0,10-0-0,13-0-0,10-0-0,3-0-0,41-1-BFD,23-0-0,13-0-0,25-1-0,5-0-0,nan-0-0,nan-0-0
8,8,8,8,9,FRA,629,,BANQUE POPULAIRE,LOUIS PIGNOLET,SNO NANTES,OPEN,136.0,256.0,5-0-0,11-0-0,3-0-0,3-0-0,2-0-0,9-0-0,22-1-0,9-0-0,25-1-0,5-0-0,2-0-0,6-0-0,18-0-0,17-0-0,25-1-0,13-0-0,22-0-0,48-1-0,11-0-0,6-0-0,nan-0-0,nan-0-0
9,9,9,9,10,ESP,388,,FURIA,NACHO BALTASAR SUMMERS,CLUB NAUTIC SA RAPITA,U23,145.0,243.0,5-0-0,29-1-0,7-0-0,5-0-0,7-0-0,16-1-0,12-0-0,3-0-0,3-0-0,9-0-0,24-1-0,24-0-0,12-0-0,29-1-0,3-0-0,11-0-0,10-0-0,14-0-0,20-0-0,8-0-BFD,nan-0-0,nan-0-0
10,10,10,10,11,ITA,24,,"FIAMME GIALLE, BEST WIND",LUCA DI TOMASSI,,OPEN,148.0,321.0,9-0-0,41-1-DNC,11-0-0,1-0-0,6-0-0,9-0-0,4-0-0,4-0-0,32-1-0,26-0-0,4-0-0,15-0-0,54-1-0,46-1-0,5-0-0,11-0-0,9-0-0,24-0-0,10-0-0,nan-0-0,nan-0-0,nan-0-0
11,11,11,11,12,GBR,19,,FINN HAWKINS,FINN HAWKINS,PORTHPEAN SAILING CLUB,U23,158.7,284.7,23-1-0,17-0-0,1-0-0,5-0-0,6-0-0,6-0-0,16-0-0,1270-0-RDG,23-1-0,27-0-0,51-1-0,5-0-0,5-0-0,2-0-0,13-0-RDG,5-0-0,29-1-0,29-0-0,9-0-0,nan-0-0,nan-0-0,nan-0-0
