,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11F,12F,13F,14F,15F,16F,17F,18F,19F,20F,QF,SF,F
0,0,1,ISR,390,,,SHARON KANTOR,MICHMORET SAILING CLUB,U23,99.0,224.0,1-0-0,1-0-0,49-1-BFD,19-1-0,5-0-0,2-0-0,2-0-0,1-0-0,1-0-0,1-0-0,15-0-0,19-0-0,16-0-0,27-1-0,30-1-0,3-0-0,3-0-0,23-0-0,5-0-0,1-0-0,1-0-0,1.0-0-0,1.0-0-0
1,1,2,GBR,7,,PACIFIC GREEN,EMMA WILSON,WEYMOUTH & PORTLAND NATIONAL SAILING ACADEMY,OPEN,21.0,66.0,1-1-0,1-0-0,3-1-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,33-1-0,8-1-0,2-0-0,1-0-0,1-0-0,1-0-0,1-0-0,5-0-0,nan-0-0,nan-0-0,2.0-0-0
2,2,3,ISR,32,,ELDAN,KATY SPYCHAKOV,EILAT SAILING CLUB,OPEN,98.0,200.0,7-0-0,25-1-0,1-0-0,9-1-0,1-0-0,1-0-0,5-0-0,5-0-0,7-0-0,3-0-0,3-0-0,3-0-0,20-1-0,11-0-0,11-0-0,17-0-0,48-1-BFD,9-0-0,1-0-0,13-0-0,nan-0-0,2.0-0-0,3.0-0-0
3,3,4,NED,33,,"ALLIANZ, MENTHA, SEVERNE",SARA WENNEKES,ALMERE CENTRAAL,OPEN,105.0,168.0,11-1-0,5-0-0,7-0-0,5-0-0,9-1-0,4-0-0,4-0-0,6-0-0,4-0-0,4-0-0,5-0-0,10-0-0,27-1-0,16-1-0,16-0-0,7-0-0,13-0-0,7-0-0,3-0-0,5-0-0,2-0-0,3.0-0-0,nan-0-0
4,4,5,ESP,12,,ELLASSONDEAQUI LIVINDA //  PUERTO SHERRY // FAO // SOORUZ,PILAR LAMADRID TRUEBA,CLUB NÁUTICO PUERTO SHERRY,OPEN,82.0,231.0,3-0-0,3-0-0,5-1-0,1-0-0,3-0-0,48-1-BFD,1-0-0,2-0-0,3-0-0,2-0-0,4-0-0,7-0-0,6-0-0,5-0-0,48-1-DNF,4-0-0,2-0-0,48-1-BFD,29-0-0,7-0-0,nan-0-0,4.0-0-0,nan-0-0
5,5,6,MEX,28,,,MARIANA AGUILAR CHAVEZ PEON,SAN GASPAR DEL LAGO,OPEN,162.0,293.0,3-0-0,27-0-0,13-0-0,5-0-0,49-1-BFD,48-1-BFD,3-0-0,14-0-0,26-0-0,11-0-0,8-0-0,17-1-0,4-0-0,4-0-0,3-0-0,10-0-0,9-0-0,13-0-0,17-1-0,9-0-0,3-0-0,nan-0-0,nan-0-0
6,6,7,POL,7,,POLISH YACHTING ASSOCIATION,MAJA DZIARNOWSKA,,OPEN,147.0,271.0,1-0-0,13-1-0,5-0-0,9-0-0,1-0-0,13-0-0,9-0-0,3-0-0,48-1-UFD,13-0-0,10-0-0,4-0-0,7-0-0,34-1-0,7-0-0,15-0-0,25-0-0,4-0-0,21-0-0,29-1-0,4-0-0,nan-0-0,nan-0-0
7,7,8,ISR,3,,NOVA,SHAHAR TIBI,EILAT SAILING CLUB,OPEN,106.0,228.0,5-0-0,11-0-0,3-0-0,3-0-0,23-1-0,2-0-0,7-0-0,5-0-0,2-0-0,15-1-0,18-0-0,2-0-0,2-0-0,32-0-0,36-1-0,2-0-0,8-0-0,48-1-BFD,3-0-0,1-0-0,8-0-BFD,nan-0-0,nan-0-0
8,8,9,ITA,157,,,MARTA MAGGETTI,,OPEN,112.0,218.0,13-0-0,21-1-0,9-0-0,7-0-0,25-1-0,4-0-0,8-0-0,4-0-0,4-0-0,2-0-0,23-1-0,5-0-0,1-0-0,13-0-0,1-0-0,19-0-0,5-0-0,2-0-0,37-1-0,15-0-0,8-0-BFD,nan-0-0,nan-0-0
9,9,10,NOR,21,,,MAYA GYSLER,KNS,U23,166.0,322.0,31-1-0,7-0-0,17-0-0,1-0-0,5-0-0,7-0-0,8-0-0,48-1-UFD,5-0-0,6-0-0,31-1-0,22-0-0,46-1-0,18-0-0,5-0-0,5-0-0,14-0-0,20-0-0,23-0-0,3-0-0,8-0-BFD,nan-0-0,nan-0-0
10,10,11,NOR,332,,FOILVIKINGS,MINA MOBEKK,ROYAL NORWEGIAN YACHT CLUB,U23,166.0,265.0,5-0-0,13-1-0,5-0-0,5-0-0,3-0-0,16-1-0,7-0-0,3-0-0,6-0-0,9-0-0,19-0-0,18-0-0,13-0-0,31-0-0,25-0-0,6-0-0,6-0-0,5-0-0,33-1-0,37-1-0,nan-0-0,nan-0-0,nan-0-0
11,11,12,NOR,29,,,TUVA OPPEDAL,SOLA,U23,168.0,289.0,9-0-0,25-1-0,21-1-0,19-0-0,17-0-0,3-0-0,5-0-0,7-0-0,7-0-0,4-0-0,6-0-0,12-0-0,23-0-0,3-0-0,23-0-0,26-1-0,4-0-0,11-0-0,15-0-0,49-1-BFD,nan-0-0,nan-0-0,nan-0-0
12,12,13,ISR,2,,,DANIELA PELEG,SDOT YAM SAILING CLUB,U23,171.0,287.0,11-0-0,3-0-0,7-0-0,11-0-0,49-1-BFD,16-0-0,17-1-0,15-0-0,6-0-0,16-0-0,9-0-0,6-0-0,10-0-0,12-0-0,20-1-0,9-0-0,30-1-0,16-0-0,7-0-0,17-0-0,nan-0-0,nan-0-0,nan-0-0
