RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,F1,F2,F3,F4,F5,F6,F7,F8
1ST,37,MAXIMILIAN MAEDER (U21) (U19),SGP,17.0,50.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0 (UFD),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2ND,138,AXEL MAZELLA,FRA,44.0,106.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,30.0 (DNC),4.0,5.0,6.0,2.0,4.0,5.0,3.0,26.0 (DNC)
3RD,59,CONNOR BAINBRIDGE,GBR,49.0,101.0,4.0,2.0,1.0,2.0,4.0,30.0 (UFD),2.0,3.0,1.0,2.0,2.0,7.0,3.0,7.0,2.0,3.0,2.0,15.0,4.0,5.0
4TH,78,VALENTIN BONTUS,AUT,50.0,93.0,1.0,1.0,2.0,1.0,2.0,6.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,19.0,4.0,18.0,7.0,2.0,2.0,13.0
5TH,148,BRUNO LOBO,BRA,65.0,104.0,3.0,6.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,7.0,10.0,8.0,6.0,23.0,10.0,7.0,3.0
6TH,45,RICCARDO PIANOSI (U21),ITA,65.0,112.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,17.0,3.0,5.0,7.0,26.0 (DNC),4.0,13.0,15.0
7TH,73,MARTIN DOLENC,CRO,89.0,160.0,6.0,8.0,1.0,2.0,30.0 (UFD),1.0,3.0,8.0,4.0,3.0,3.0,1.0,12.0,4.0,3.0,12.0,9.0,20.0,9.0,21.0
8TH,89,BENOIT GOMEZ,FRA,100.0,160.0,1.0,13.0,2.0,3.0,4.0,4.0,4.0,2.0,14.0,30.0 (DNC),11.0,11.0,6.0,16.0,7.0,4.0,3.0,9.0,6.0,10.0
9TH,126,JANNIS MAUS,GER,100.0,136.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,11.0,2.0,11.0,4.0,5.0,13.0,12.0,10.0,10.0,12.0,7.0,12.0,8.0
10TH,48,MAKSYMILIAN ZAKOWSKI,POL,113.0,167.0,9.0,6.0,3.0,4.0,6.0,4.0,3.0,2.0,6.0,8.0,10.0,5.0,20.0,2.0,23.0,21.0,11.0,12.0,10.0,2.0
