RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,F1,F2,F3,F4,F5,F6,F7,F8
1ST,150,BRUCE KESSLER,SUI,99.0,159.0,10.0-0-0,8.0-0-0,19.0-0-0,9.0-0-0,9.0-0-0,8.0-0-0,8.0-0-0,7.0-0-0,9.0-0-0,7.0-0-0,8.0-0-0,6.0-0-0,5.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,5.0-0-0,6.0-0-0,1.0-0-0,31.0-0-DNC
2ND,97,LUKAS WALTON KEIM,NZL,110.0,153.0,15.0-0-0,17.0-0-0,8.0-0-0,6.0-0-0,7.0-0-0,10.0-0-0,6.0-0-0,9.0-0-0,7.0-0-0,5.0-0-0,10.0-0-0,9.0-0-0,2.0-0-0,4.0-0-0,4.0-0-0,11.0-0-0,2.0-0-0,1.0-0-0,11.0-0-0,9.0-0-0
3RD,38,GIAN STRAGIOTTI (U21) (U19),SUI,121.0,198.0,7.0-0-0,30.0-0-DNC,11.0-0-0,9.0-0-0,12.0-0-0,17.0-0-0,7.0-0-0,30.0-0-UFD,7.0-0-0,12.0-0-0,9.0-0-0,7.0-0-0,6.0-0-0,2.0-0-0,13.0-0-0,2.0-0-0,1.0-0-0,8.0-0-0,2.0-0-0,6.0-0-0
4TH,52,ZOHAR HARUVI,ISR,123.0,196.0,9.0-0-0,7.0-0-0,6.0-0-0,21.0-0-0,9.0-0-0,11.0-0-0,22.0-0-0,7.0-0-0,12.0-0-0,17.0-0-0,30.0-0-DNC,14.0-0-0,7.0-0-0,7.0-0-0,2.0-0-0,4.0-0-0,3.0-0-0,2.0-0-0,4.0-0-0,2.0-0-0
5TH,65,HAORAN ZHANG,CHN,124.0,198.0,14.0-0-0,8.0-0-0,30.0-0-UFD,6.0-0-0,5.0-0-0,30.0-0-UFD,9.0-0-0,12.0-0-0,6.0-0-0,4.0-0-0,9.0-0-0,4.0-0-0,1.0-0-0,10.0-0-0,7.0-0-0,5.0-0-0,10.0-0-0,9.0-0-0,9.0-0-0,10.0-0-0
6TH,32,TIGER TYSON,ANT,126.0,185.0,7.0-0-0,15.0-0-0,5.0-0-0,12.0-0-0,7.0-0-0,9.0-0-0,11.0-0-0,6.0-0-0,9.0-0-0,9.0-0-0,11.0-0-0,13.0-0-0,3.0-0-0,9.0-0-0,11.0-0-0,3.0-0-0,7.0-0-0,4.0-0-0,3.0-0-0,31.0-0-DNC
7TH,66,JIANGANG WU,CHN,165.0,225.0,17.0-0-SP5,10.0-0-0,9.0-0-0,12.0-0-0,11.0-0-0,10.0-0-0,9.0-0-0,10.0-0-0,11.0-0-0,8.0-0-0,14.0-0-0,12.0-0-0,14.0-0-0,13.0-0-0,6.0-0-0,6.0-0-0,6.0-0-0,18.0-0-0,25.0-0-0,4.0-0-0
8TH,140,SAMUEL DICKINSON (U21),GBR,194.0,247.0,17.0-0-0,9.0-0-0,15.0-0-0,17.0-0-0,15.0-0-0,17.0-0-0,10.0-0-0,14.0-0-0,16.0-0-0,14.0-0-0,14.0-0-0,10.0-0-0,11.0-0-0,12.0-0-0,9.0-0-0,16.0-0-0,4.0-0-0,19.0-0-0,5.0-0-0,3.0-0-0
9TH,94,NELL DE ZAHAM (U21) (U19),FRA,199.0,264.0,10.0-0-0,22.0-0-0,15.0-0-0,14.0-0-0,10.0-0-0,12.0-0-0,12.0-0-0,19.0-0-0,8.0-0-0,13.0-0-0,12.0-0-0,12.0-0-0,8.0-0-0,16.0-0-0,15.0-0-0,8.0-0-0,23.0-0-0,14.0-0-0,20.0-0-0,1.0-0-0
10TH,92,ARTHUR LHEZ,FRA,199.0,275.0,14.0-0-0,13.0-0-0,22.0-0-0,9.0-0-0,23.0-0-0,7.0-0-0,10.0-0-0,10.0-0-0,10.0-0-0,9.0-0-0,10.0-0-0,10.0-0-0,9.0-0-0,18.0-0-0,18.0-0-0,17.0-0-0,12.0-0-0,7.0-0-0,16.0-0-0,31.0-0-DNC
