,RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,F1,F2,F3,F4,F5,F6,F7,F8
0,1ST,131,LAURIANE NOLOT,FRA,20.0,57.0,4.0-0-0,7.0-0-0,1.0-0-0,2.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,26.0-0-DNC,1.0-0-0,2.0-0-0,2.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,2.0-0-0
1,2ND,98,POEMA NEWLAND,FRA,31.0,79.0,1.0-0-0,2.0-0-0,2.0-0-0,4.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,1.0-0-0,27.0-0-RET,4.0-0-0,1.0-0-0,2.0-0-0,2.0-0-0,17.0-0-0,4.0-0-0,4.0-0-0,2.0-0-0,2.0-0-0,1.0-0-0
2,3RD,125,JESSIE KAMPMAN,FRA,38.0,105.0,27.0-0-RET,8.0-0-0,1.0-0-0,1.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,27.0-0-UFD,1.0-0-0,3.0-0-0,3.0-0-0,3.0-0-0,1.0-0-0,1.0-0-0,2.0-0-0,3.0-0-0,3.0-0-0,13.0-0-0
3,4TH,154,ELEANOR ALDRIDGE,GBR,56.0,97.0,5.0-0-0,1.0-0-0,4.0-0-0,3.0-0-0,3.0-0-0,3.0-0-0,5.0-0-0,27.0-0-UFD,3.0-0-0,2.0-0-0,2.0-0-0,1.0-0-0,4.0-0-0,7.0-0-0,7.0-0-0,5.0-0-0,6.0-0-0,5.0-0-0,4.0-0-0
4,5TH,34,ELENA LENGWILER,SUI,79.0,119.0,3.0-0-0,11.0-0-0,6.0-0-0,4.0-0-0,5.0-0-0,5.0-0-0,3.0-0-0,3.0-0-0,1.0-0-0,3.0-0-0,4.0-0-0,11.0-0-0,5.0-0-0,3.0-0-0,14.0-0-0,10.0-0-0,10.0-0-0,15.0-0-0,3.0-0-0
5,6TH,110,LILY YOUNG,GBR,94.0,133.0,10.0-0-0,3.0-0-0,3.0-0-0,1.0-0-0,5.0-0-0,3.0-0-0,3.0-0-0,4.0-0-0,6.0-0-0,12.0-0-0,4.0-0-0,9.0-0-0,13.0-0-0,13.0-0-0,5.0-0-0,8.0-0-0,14.0-0-0,12.0-0-0,5.0-0-0
6,7TH,87,GAL ZUKERMAN,ISR,95.0,138.0,2.0-0-0,2.0-0-0,3.0-0-0,8.0-0-0,4.0-0-0,10.0-0-0,9.0-0-0,5.0-0-0,7.0-0-0,8.0-0-0,7.0-0-0,8.0-0-0,9.0-0-0,6.0-0-0,6.0-0-0,19.0-0-0,5.0-0-0,14.0-0-0,6.0-0-0
7,8TH,152,DANIELA MOROZ,USA,96.0,176.0,2.0-0-0,27.0-0-UFD,10.0-0-0,6.0-0-0,27.0-0-DNC,4.0-0-0,4.0-0-0,4.0-0-0,2.0-0-0,5.0-0-0,2.0-0-0,26.0-0-DNC,12.0-0-0,4.0-0-0,3.0-0-0,3.0-0-0,24.0-0-0,4.0-0-0,7.0-0-0
8,9TH,161,KATIE DABSON,GBR,111.0,169.0,1.0-0-0,4.0-0-0,8.0-0-0,5.0-0-0,27.0-0-UFD,6.0-0-0,7.0-0-0,6.0-0-0,10.0-0-0,14.0-0-0,8.0-0-0,4.0-0-0,7.0-0-0,10.0-0-0,17.0-0-0,7.0-0-0,4.0-0-0,10.0-0-0,14.0-0-0
9,10TH,15,MAGGIE EILLEN PESCETTO,ITA,114.0,154.0,6.0-0-0,5.0-0-0,14.0-0-0,2.0-0-0,4.0-0-0,9.0-0-0,8.0-0-0,9.0-0-0,13.0-0-0,2.0-0-0,5.0-0-0,13.0-0-0,8.0-0-0,9.0-0-0,12.0-0-0,6.0-0-0,9.0-0-0,8.0-0-0,12.0-0-0
