ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,MATT WEARN,,KITE MASC.,6.0,0,Q1,1,0,35.0,24.0,World Championship 2024,Q1,AUS
,,HERMANN TOMASGAARD,,KITE MASC.,1.0,0,Q1,2,0,55.0,34.0,World Championship 2024,Q1,NOR
,,MICHAEL BECKETT,,KITE MASC.,17.0,1,Q1,3,30%,58.0,41.0,World Championship 2024,Q1,GBR
,,PHILIPP BUHL,,KITE MASC.,3.0,0,Q1,4,0,103.0,65.0,World Championship 2024,Q1,GER
,,THOMAS SAUNDERS,,KITE MASC.,4.0,0,Q1,5,0,90.0,71.0,World Championship 2024,Q1,NZL
,,PAVLOS KONTIDES,,KITE MASC.,14.0,0,Q1,6,0,131.0,79.0,World Championship 2024,Q1,CYP
,,JEAN BAPTISTE BERNAZ,,KITE MASC.,6.0,0,Q1,7,0,103.0,86.0,World Championship 2024,Q1,FRA
,,FILIP JURIIC,,KITE MASC.,2.0,0,Q1,8,0,130.0,91.0,World Championship 2024,Q1,CRO
,,FINN LYNCH,,KITE MASC.,8.0,0,Q1,9,0,147.0,95.0,World Championship 2024,Q1,IRL
,,LUKE ELLIOTT,,KITE MASC.,1.0,0,Q1,10,0,121.0,101.0,World Championship 2024,Q1,AUS
,,DUKO BOS,,KITE MASC.,11.0,0,Q1,11,0,113.0,94.0,World Championship 2024,Q1,NED
,,JONATAN VADNAI,,KITE MASC.,13.0,0,Q1,12,0,150.0,98.0,World Championship 2024,Q1,HUN
,,JUAN MAEGLI,,KITE MASC.,6.0,0,Q1,13,0,129.0,98.0,World Championship 2024,Q1,GUA
,,NIK AARON WILLIM,,KITE MASC.,19.0,0,Q1,14,0,150.0,98.0,World Championship 2024,Q1,GER
,,GEORGE GAUTREY,,KITE MASC.,3.0,0,Q1,15,0,151.0,99.0,World Championship 2024,Q1,NZL
,,EDUARDO MARQUES,,KITE MASC.,29.0,1,Q1,16,0,128.0,99.0,World Championship 2024,Q1,POR
,,TONCI STIPANOVIC,,KITE MASC.,23.0,0,Q1,17,0,152.0,101.0,World Championship 2024,Q1,CRO
,,SAM WHALEY,,KITE MASC.,7.0,0,Q1,18,0,162.0,110.0,World Championship 2024,Q1,GBR
,,VALTTERI UUSITALO,,KITE MASC.,29.0,0,Q1,19,0,147.0,112.0,World Championship 2024,Q1,FIN
,,ETHAN MCAULLAY,,KITE MASC.,5.0,0,Q1,20,0,151.0,115.0,World Championship 2024,Q1,AUS
,,MILIVOJ DUKIC,,KITE MASC.,16.0,0,Q1,21,0,170.0,118.0,World Championship 2024,Q1,MNE
,,ZAC LITTLEWOOD,,KITE MASC.,12.0,0,Q1,22,0,172.0,120.0,World Championship 2024,Q1,AUS
,,FINN ALEXANDER,,KITE MASC.,9.0,0,Q1,23,0,162.0,121.0,World Championship 2024,Q1,AUS
,,CLEMENTE SEGUEL LACAMARA,,KITE MASC.,2.0,0,Q1,24,0,168.0,123.0,World Championship 2024,Q1,CHI
,,JOHAN LUNDGAARD SCHUBERT,,KITE MASC.,7.0,0,Q1,25,0,151.0,124.0,World Championship 2024,Q1,DEN
,,VISHNU SARAVANAN,,KITE MASC.,15.0,0,Q1,26,0,174.0,125.0,World Championship 2024,Q1,IND
,,LORENZO BRANDO CHIAVARINI,,KITE MASC.,5.0,0,Q1,27,0,178.0,140.0,World Championship 2024,Q1,ITA
,,YIGIT YALCIN CITAK,,KITE MASC.,5.0,0,Q1,28,0,188.0,146.0,World Championship 2024,Q1,TUR
,,UFFE TOMASGAARD,,KITE MASC.,14.0,0,Q1,29,0,191.0,157.0,World Championship 2024,Q1,NOR
,,EMIL BENGTSON,,KITE MASC.,13.0,0,Q1,30,0,207.0,161.0,World Championship 2024,Q1,SWE
,,NICHOLAS HALLIDAY,,KITE MASC.,17.0,0,Q1,31,0,207.0,163.0,World Championship 2024,Q1,HKG
,,KAARLE TAPPER,,KITE MASC.,10.0,0,Q1,32,0,203.0,163.0,World Championship 2024,Q1,FIN
,,KHAIRULNIZAM MOHD AFENDY,,KITE MASC.,4.0,0,Q1,33,0,213.0,165.0,World Championship 2024,Q1,MAS
,,WILLIAM DE SMET,,KITE MASC.,29.0,0,Q1,34,0,204.0,173.0,World Championship 2024,Q1,BEL
,,BENJAMIN VADNAI,,KITE MASC.,15.0,0,Q1,35,0,210.0,175.0,World Championship 2024,Q1,HUN
,,CHRISTOFFER SORLIE,,KITE MASC.,4.0,0,Q1,36,0,223.0,176.0,World Championship 2024,Q1,NOR
,,JOEL RODRIGUEZ PEREZ,,KITE MASC.,13.0,0,Q1,37,0,216.0,176.0,World Championship 2024,Q1,ESP
,,FRANCISCO GUARAGNA RIGONAT,,KITE MASC.,3.0,0,Q1,38,0,236.0,184.0,World Championship 2024,Q1,ARG
,,ILIJA MARKOVIC,,KITE MASC.,18.0,0,Q1,39,0,233.0,186.0,World Championship 2024,Q1,MNE
,,LUKE RUITENBERG,,KITE MASC.,2.0,0,Q1,40,0,247.0,199.0,World Championship 2024,Q1,CAN
,,EWAN MCMAHON,,KITE MASC.,24.0,0,Q1,41,0,240.0,199.0,World Championship 2024,Q1,IRL
,,RYAN LO,,KITE MASC.,19.0,0,Q1,42,0,253.0,207.0,World Championship 2024,Q1,SGP
,,LEOPOLDO BARRETO HASCHKE,,KITE MASC.,10.0,0,Q1,43,0,257.0,207.0,World Championship 2024,Q1,ESP
,,FORD MCCANN,,KITE MASC.,26.0,0,Q1,44,0,261.0,209.0,World Championship 2024,Q1,USA
,,DANIEL WHITELEY,,KITE MASC.,10.0,0,Q1,45,0,267.0,215.0,World Championship 2024,Q1,GBR
,,MARSHALL MCCANN,,KITE MASC.,7.0,0,Q1,46,0,255.0,216.0,World Championship 2024,Q1,USA
,,FACUNDO OLEZZA,,KITE MASC.,12.0,0,Q1,47,0,270.0,218.0,World Championship 2024,Q1,ARG
,,GAUTHIER VERHULST,,KITE MASC.,8.0,0,Q1,48,0,275.0,223.0,World Championship 2024,Q1,SUI
,,PEDRO FERNANDEZ,,KITE MASC.,17.0,0,Q1,49,0,266.0,224.0,World Championship 2024,Q1,PUR
,,STEFAN ELLIOTT SHIRCORE,,KITE MASC.,16.0,0,Q1,50,0,286.0,234.0,World Championship 2024,Q1,AUS
,,BERKAY ABAY,,KITE MASC.,22.0,0,Q1,51,0,296.0,244.0,World Championship 2024,Q1,TUR
,,JOAQUIN BLANCO ALBALAT,,KITE MASC.,9.0,0,Q1,52,0,101.0,,World Championship 2024,Q1,ESP
,,ZAN LUKA ZELKO,,KITE MASC.,21.0,0,Q1,53,0,119.0,,World Championship 2024,Q1,SLO
,,NICO NAUJOCK,,KITE MASC.,25.0,0,Q1,54,0,131.0,,World Championship 2024,Q1,GER
