ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,NICOLO RENNA,,IQFOIL MASC.,1,0,OPEN,1,0,171.0,51.0,World Championship 2024,1Q,ITA
,,PAWEL TARNOWSKI,,IQFOIL MASC.,3,0,OPEN,2,0,250.0,104.0,World Championship 2024,1Q,POL
,,LUUC VAN OPZEELAND,,IQFOIL MASC.,1,0,OPEN,3,0,102.0,34.0,World Championship 2024,1Q,NED
,,GRAE MORRIS,,IQFOIL MASC.,5,0,U23,4,0,201.0,121.0,World Championship 2024,1Q,AUS
,,KIRAN BADLOE,,IQFOIL MASC.,3,0,OPEN,5,0,172.0,70.0,World Championship 2024,1Q,NED
,,NICOLAS GOYARD,,IQFOIL MASC.,9,1,OPEN,6,0,144.0,71.0,World Championship 2024,1Q,FRA
,,POULIQUEN YUN,,IQFOIL MASC.,7,0,OPEN,7,0,246.0,139.0,World Championship 2024,1Q,FRA
,,TOM REUVENY,,IQFOIL MASC.,3,0,OPEN,8,0,216.5,120.5,World Championship 2024,1Q,ISR
,,LOUIS PIGNOLET,,IQFOIL MASC.,5,0,OPEN,9,0,256.0,136.0,World Championship 2024,1Q,FRA
,,NACHO BALTASAR SUMMERS,,IQFOIL MASC.,5,0,U23,10,0,243.0,145.0,World Championship 2024,1Q,ESP
,,LUCA DI TOMASSI,,IQFOIL MASC.,9,0,OPEN,11,0,321.0,148.0,World Championship 2024,1Q,ITA
,,FINN HAWKINS,,IQFOIL MASC.,23,1,U23,12,0,284.7,158.7,World Championship 2024,1Q,GBR
,,MICHAL POLAK,,IQFOIL MASC.,5,0,U23,13,0,331.0,167.0,World Championship 2024,1Q,POL
,,RADOSLAW FURMANSKI,,IQFOIL MASC.,1,0,OPEN,14,0,334.0,178.0,World Championship 2024,1Q,POL
,,HUIG JAN TAK,,IQFOIL MASC.,9,0,OPEN,15,0,352.0,181.0,World Championship 2024,1Q,NED
,,ADRIEN MESTRE,,IQFOIL MASC.,15,1,OPEN,16,0,305.0,185.0,World Championship 2024,1Q,FRA
,,JOHAN SOE,,IQFOIL MASC.,5,0,U23,17,0,328.0,185.0,World Championship 2024,1Q,DEN
,,MAX CASTELEIN,,IQFOIL MASC.,11,0,U23,18,0,348.0,186.0,World Championship 2024,1Q,NED
,,BERNAT TOMAS,,IQFOIL MASC.,3,0,U23,19,0,335.0,191.0,World Championship 2024,1Q,ESP
,,NOAH LYONS,,IQFOIL MASC.,11,0,OPEN,20,0,340.0,197.0,World Championship 2024,1Q,USA
,,TOM ARNOUX,,IQFOIL MASC.,33,1,OPEN,21,0,370.0,208.0,World Championship 2024,1Q,FRA
,,JOSHUA ARMIT,,IQFOIL MASC.,1,0,OPEN,22,0,379.0,217.0,World Championship 2024,1Q,NZL
,,THOMAS CROOK,,IQFOIL MASC.,25,1,OPEN,23,0,389.0,240.0,World Championship 2024,1Q,NZL
,,GERONIMO NORES,,IQFOIL MASC.,7,0,OPEN,24,0,401.0,242.0,World Championship 2024,1Q,USA
,,ETHAN WESTERA,,IQFOIL MASC.,29,1,OPEN,25,0,389.0,251.0,World Championship 2024,1Q,ARU
,,JINGYE HUANG,,IQFOIL MASC.,19,0,U23,26,0,400.0,258.0,World Championship 2024,1Q,CHN
,,YOAV OMER,,IQFOIL MASC.,19,1,OPEN,27,0,379.0,259.0,World Championship 2024,1Q,ISR
,,SEBASTIAN KOERDEL,,IQFOIL MASC.,21,0,OPEN,28,0,422.0,261.0,World Championship 2024,1Q,GER
,,ELI LIEFTING,,IQFOIL MASC.,23,1,U23,29,0,395.0,269.0,World Championship 2024,1Q,NZL
,,THOMAS GOYARD,,IQFOIL MASC.,41,1,OPEN,30,DNC,465.0,270.0,World Championship 2024,1Q,FRA
,,MATEUS ISAAC,,IQFOIL MASC.,11,0,OPEN,31,0,431.0,270.0,World Championship 2024,1Q,BRA
,,MATTHEW BARTON,,IQFOIL MASC.,5,0,OPEN,32,0,434.0,278.0,World Championship 2024,1Q,GBR
,,LEONIDAS TSORTANIDIS,,IQFOIL MASC.,13,0,OPEN,33,0,402.0,281.0,World Championship 2024,1Q,GRE
,,SAMUEL OLIVER SILLS,,IQFOIL MASC.,7,0,OPEN,34,0,439.0,287.0,World Championship 2024,1Q,GBR
,,ANDY  BROWN,,IQFOIL MASC.,13,0,OPEN,35,0,487.0,290.0,World Championship 2024,1Q,GBR
,,KUN BI,,IQFOIL MASC.,3,0,OPEN,36,0,452.0,297.0,World Championship 2024,1Q,CHN
,,YOAV COHEN,,IQFOIL MASC.,9,0,OPEN,37,0,455.0,299.0,World Championship 2024,1Q,ISR
,,TOMER VARDIMON,,IQFOIL MASC.,9,0,OPEN,38,0,442.0,300.0,World Championship 2024,1Q,ISR
