ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,SHARON KANTOR,,IQFOIL FEM.,1,0,U23,1,0,224.0,99.0,World Championship 2024,1Q,ISR
,,EMMA WILSON,,IQFOIL FEM.,1,1,OPEN,2,0,66.0,21.0,World Championship 2024,1Q,GBR
,,KATY SPYCHAKOV,,IQFOIL FEM.,7,0,OPEN,3,0,200.0,98.0,World Championship 2024,1Q,ISR
,,SARA WENNEKES,,IQFOIL FEM.,11,1,OPEN,4,0,168.0,105.0,World Championship 2024,1Q,NED
,,PILAR LAMADRID TRUEBA,,IQFOIL FEM.,3,0,OPEN,5,0,231.0,82.0,World Championship 2024,1Q,ESP
,,MARIANA AGUILAR CHAVEZ PEON,,IQFOIL FEM.,3,0,OPEN,6,0,293.0,162.0,World Championship 2024,1Q,MEX
,,MAJA DZIARNOWSKA,,IQFOIL FEM.,1,0,OPEN,7,0,271.0,147.0,World Championship 2024,1Q,POL
,,SHAHAR TIBI,,IQFOIL FEM.,5,0,OPEN,8,0,228.0,106.0,World Championship 2024,1Q,ISR
,,MARTA MAGGETTI,,IQFOIL FEM.,13,0,OPEN,9,0,218.0,112.0,World Championship 2024,1Q,ITA
,,MAYA GYSLER,,IQFOIL FEM.,31,1,U23,10,0,322.0,166.0,World Championship 2024,1Q,NOR
,,MINA MOBEKK,,IQFOIL FEM.,5,0,U23,11,0,265.0,166.0,World Championship 2024,1Q,NOR
,,TUVA OPPEDAL,,IQFOIL FEM.,9,0,U23,12,0,289.0,168.0,World Championship 2024,1Q,NOR
,,DANIELA PELEG,,IQFOIL FEM.,11,0,U23,13,0,287.0,171.0,World Championship 2024,1Q,ISR
,,TAMAR STEINBERG,,IQFOIL FEM.,5,0,U23,14,0,319.0,178.0,World Championship 2024,1Q,ISR
,,LOLA SORIN,,IQFOIL FEM.,21,1,U23,15,0,288.0,183.0,World Championship 2024,1Q,FRA
,,MAYA MORRIS,,IQFOIL FEM.,11,0,OPEN,16,0,277.0,184.0,World Championship 2024,1Q,ISR
,,ZHENG YAN,,IQFOIL FEM.,9,0,OPEN,17,0,342.0,185.0,World Championship 2024,1Q,CHN
,,THERESA MARIE STEINLEIN,,IQFOIL FEM.,13,1,U23,18,0,300.0,187.0,World Championship 2024,1Q,GER
,,NICOLE VAN DER VELDEN VIZCAYA,,IQFOIL FEM.,3,0,OPEN,19,0,340.0,205.0,World Championship 2024,1Q,ESP
,,ISLAY WATSON,,IQFOIL FEM.,3,0,OPEN,20,0,336.0,210.0,World Championship 2024,1Q,GBR
,,VEERLE TEN HAVE,,IQFOIL FEM.,11,0,OPEN,21,0,324.0,210.0,World Championship 2024,1Q,NZL
,,DELPHINE COUSIN,,IQFOIL FEM.,7,0,OPEN,22,0,339.0,223.0,World Championship 2024,1Q,FRA
,,LILIAN DE GEUS,,IQFOIL FEM.,5,0,OPEN,23,0,409.6,223.6,World Championship 2024,1Q,NED
,,PALMA CARGO,,IQFOIL FEM.,1,0,OPEN,24,0,381.0,234.0,World Championship 2024,1Q,CRO
,,HELENE NOESMOEN,,IQFOIL FEM.,13,0,OPEN,25,0,361.0,235.0,World Championship 2024,1Q,FRA
,,YUNXIU LU,,IQFOIL FEM.,29,1,OPEN,26,0,434.0,291.0,World Championship 2024,1Q,CHN
,,GIORGIA SPECIALE,,IQFOIL FEM.,19,0,OPEN,27,0,433.0,292.0,World Championship 2024,1Q,ITA
,,XIALING TAN,,IQFOIL FEM.,15,0,OPEN,28,0,453.0,293.0,World Championship 2024,1Q,CHN
,,NOCETI KLEPACKA ZOFIA,,IQFOIL FEM.,27,1,OPEN,29,0,446.0,299.0,World Championship 2024,1Q,POL
,,KATERINA SVIKOVA,,IQFOIL FEM.,17,0,OPEN,30,0,477.0,301.0,World Championship 2024,1Q,CZE
