ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,MIKHAIL NOVIKOV,,KITE MASC.,27.0,0,Bronze,1,SP5,245.0,155.0,World Championship 2024,Q1,VAN
,,OSCAR TIMM,,KITE MASC.,20.0,0,Bronze,2,0,285.0,209.0,World Championship 2024,Q1,AUS
,,JOSEPH JONATHAN PEN WESTON,,KITE MASC.,15.0,0,Bronze,3,0,293.0,211.0,World Championship 2024,Q1,THA
,,MARCIN KROCZAK,,KITE MASC.,17.0,0,Bronze,4,0,301.0,226.0,World Championship 2024,Q1,SUI
,,EJDER GINYOL,,KITE MASC.,20.0,0,Bronze,5,0,317.0,227.0,World Championship 2024,Q1,TUR
,,RODERICK PIJLS,,KITE MASC.,19.0,0,Bronze,6,0,321.0,236.0,World Championship 2024,Q1,NED
,,PAUL LABORDERE,,KITE MASC.,19.0,0,Bronze,7,0,324.0,239.0,World Championship 2024,Q1,FRA
,,SEBASTIAN DUCOS,,KITE MASC.,23.0,0,Bronze,8,0,311.0,240.0,World Championship 2024,Q1,ESP
,,ADAM KEATON,,KITE MASC.,23.0,0,Bronze,9,0,326.0,244.0,World Championship 2024,Q1,USA
,,JAN KOSZOWSKI,,KITE MASC.,21.0,0,Bronze,10,0,342.0,271.0,World Championship 2024,Q1,POL
,,PEDRO AFONSO RODRIGUES,,KITE MASC.,21.0,0,Bronze,11,0,367.0,275.0,World Championship 2024,Q1,POR
,,NEIL MARCELLINI,,KITE MASC.,18.0,0,Bronze,12,0,348.0,276.0,World Championship 2024,Q1,USA
,,MATHEO COGUIEC,,KITE MASC.,23.0,0,Bronze,13,0,364.0,277.0,World Championship 2024,Q1,FRA
,,ANGELO SOLI,,KITE MASC.,24.0,0,Bronze,14,0,360.0,279.0,World Championship 2024,Q1,ITA
,,CARLOS ESPI,,KITE MASC.,24.0,0,Bronze,15,0,364.0,286.0,World Championship 2024,Q1,ESP
,,KIKO PEIRO,,KITE MASC.,20.0,0,Bronze,16,0,353.0,286.0,World Championship 2024,Q1,ESP
,,ADAM FARRINGTON,,KITE MASC.,26.0,0,Bronze,17,0,371.0,298.0,World Championship 2024,Q1,GBR
,,CEDRIC BAKER,,KITE MASC.,18.0,0,Bronze,18,0,376.0,306.0,World Championship 2024,Q1,SUI
,,MAC MORRIN,,KITE MASC.,22.0,0,Bronze,19,0,410.0,330.0,World Championship 2024,Q1,CAN
,,LEONARD COLLADO,,KITE MASC.,25.0,0,Bronze,20,0,428.0,335.0,World Championship 2024,Q1,ESP
,,JJ RICE,,KITE MASC.,19.0,0,Bronze,21,0,422.0,336.0,World Championship 2024,Q1,TGA
,,CHRISTIAN MANEV,,KITE MASC.,30.0,0,Bronze,22,DNC,427.0,340.0,World Championship 2024,Q1,BUL
,,LOUIS GARINO,,KITE MASC.,27.0,0,Bronze,23,0,436.8,351.8,World Championship 2024,Q1,FRA
