ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,MAXIMILIAN MAEDER,,KITE MASC.,2.0,0,Gold,1,0,50.0,17.0,World Championship 2024,Q1,SGP
,,AXEL MAZELLA,,KITE MASC.,3.0,0,Gold,2,0,106.0,44.0,World Championship 2024,Q1,FRA
,,CONNOR BAINBRIDGE,,KITE MASC.,4.0,0,Gold,3,0,101.0,49.0,World Championship 2024,Q1,GBR
,,VALENTIN BONTUS,,KITE MASC.,1.0,0,Gold,4,0,93.0,50.0,World Championship 2024,Q1,AUT
,,BRUNO LOBO,,KITE MASC.,3.0,0,Gold,5,0,104.0,65.0,World Championship 2024,Q1,BRA
,,RICCARDO PIANOSI,,KITE MASC.,1.0,0,Gold,6,0,112.0,65.0,World Championship 2024,Q1,ITA
,,MARTIN DOLENC,,KITE MASC.,6.0,0,Gold,7,0,160.0,89.0,World Championship 2024,Q1,CRO
,,BENOIT GOMEZ,,KITE MASC.,1.0,0,Gold,8,0,160.0,100.0,World Championship 2024,Q1,FRA
,,JANNIS MAUS,,KITE MASC.,4.0,0,Gold,9,0,136.0,100.0,World Championship 2024,Q1,GER
,,MAKSYMILIAN ZAKOWSKI,,KITE MASC.,9.0,0,Gold,10,0,167.0,113.0,World Championship 2024,Q1,POL
,,MAXIME NOCHER,,KITE MASC.,6.0,0,Gold,11,0,165.0,116.0,World Championship 2024,Q1,FRA
,,JAN MARCINIAK,,KITE MASC.,8.0,0,Gold,12,0,185.0,132.0,World Championship 2024,Q1,POL
,,DENIS TARADIN,,KITE MASC.,6.0,0,Gold,13,0,225.0,135.0,World Championship 2024,Q1,CYP
,,THEO DE RAMECOURT,,KITE MASC.,21.0,0,Gold,14,0,202.0,137.0,World Championship 2024,Q1,FRA
,,SAMUEL ABEN,,KITE MASC.,30.0,0,Gold,15,UFD,226.0,147.0,World Championship 2024,Q1,NED
,,DOR ZARKA,,KITE MASC.,5.0,0,Gold,16,0,220.0,150.0,World Championship 2024,Q1,ISR
,,FLORIAN GRUBER,,KITE MASC.,4.0,0,Gold,17,0,209.0,151.0,World Championship 2024,Q1,GER
,,ALEXANDER EHLEN,,KITE MASC.,5.0,0,Gold,18,0,229.0,168.0,World Championship 2024,Q1,MON
,,QIBIN HUANG,,KITE MASC.,5.0,0,Gold,19,0,236.0,172.0,World Championship 2024,Q1,CHN
,,LORENZO BOSCHETTI,,KITE MASC.,2.0,0,Gold,20,0,269.0,183.0,World Championship 2024,Q1,ITA
,,BERNAT CORTES,,KITE MASC.,8.0,0,Gold,21,0,257.0,183.0,World Championship 2024,Q1,ESP
,,CAMERON MARAMENIDES,,KITE MASC.,7.0,0,Gold,22,0,254.0,184.0,World Championship 2024,Q1,GRE
,,MARKUS EDEGRAN,,KITE MASC.,3.0,0,Gold,23,0,285.0,195.0,World Championship 2024,Q1,USA
,,VOJTECH KOSKA,,KITE MASC.,12.0,0,Gold,24,0,279.0,201.0,World Championship 2024,Q1,CZE
,,DEURY CORNIEL,,KITE MASC.,13.0,0,Gold,25,SP1,306.0,225.0,World Championship 2024,Q1,DOM
,,MAXIMILIAN MAEDER,,KITE MASC.,1.0,0,Gold,1,0,50.0,17.0,World Championship 2024,Q2,SGP
,,AXEL MAZELLA,,KITE MASC.,2.0,0,Gold,2,0,106.0,44.0,World Championship 2024,Q2,FRA
,,CONNOR BAINBRIDGE,,KITE MASC.,2.0,0,Gold,3,0,101.0,49.0,World Championship 2024,Q2,GBR
,,VALENTIN BONTUS,,KITE MASC.,1.0,0,Gold,4,0,93.0,50.0,World Championship 2024,Q2,AUT
,,BRUNO LOBO,,KITE MASC.,6.0,0,Gold,5,0,104.0,65.0,World Championship 2024,Q2,BRA
,,RICCARDO PIANOSI,,KITE MASC.,1.0,0,Gold,6,0,112.0,65.0,World Championship 2024,Q2,ITA
,,MARTIN DOLENC,,KITE MASC.,8.0,0,Gold,7,0,160.0,89.0,World Championship 2024,Q2,CRO
,,BENOIT GOMEZ,,KITE MASC.,13.0,0,Gold,8,0,160.0,100.0,World Championship 2024,Q2,FRA
,,JANNIS MAUS,,KITE MASC.,4.0,0,Gold,9,0,136.0,100.0,World Championship 2024,Q2,GER
,,MAKSYMILIAN ZAKOWSKI,,KITE MASC.,6.0,0,Gold,10,0,167.0,113.0,World Championship 2024,Q2,POL
,,MAXIME NOCHER,,KITE MASC.,3.0,0,Gold,11,0,165.0,116.0,World Championship 2024,Q2,FRA
,,JAN MARCINIAK,,KITE MASC.,10.0,0,Gold,12,0,185.0,132.0,World Championship 2024,Q2,POL
,,DENIS TARADIN,,KITE MASC.,6.0,0,Gold,13,0,225.0,135.0,World Championship 2024,Q2,CYP
,,THEO DE RAMECOURT,,KITE MASC.,5.0,0,Gold,14,0,202.0,137.0,World Championship 2024,Q2,FRA
,,SAMUEL ABEN,,KITE MASC.,11.0,0,Gold,15,0,226.0,147.0,World Championship 2024,Q2,NED
,,DOR ZARKA,,KITE MASC.,4.0,0,Gold,16,0,220.0,150.0,World Championship 2024,Q2,ISR
,,FLORIAN GRUBER,,KITE MASC.,3.0,0,Gold,17,0,209.0,151.0,World Championship 2024,Q2,GER
,,ALEXANDER EHLEN,,KITE MASC.,3.0,0,Gold,18,0,229.0,168.0,World Championship 2024,Q2,MON
,,QIBIN HUANG,,KITE MASC.,7.0,0,Gold,19,0,236.0,172.0,World Championship 2024,Q2,CHN
,,LORENZO BOSCHETTI,,KITE MASC.,2.0,0,Gold,20,0,269.0,183.0,World Championship 2024,Q2,ITA
