ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,11,0,0,1,0,76.0,58.0,World Championship 2024,Q1,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,1,0,0,1,0,76.0,58.0,World Championship 2024,Q2,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,7,0,0,1,0,76.0,58.0,World Championship 2024,Q3,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,3,0,0,1,0,76.0,58.0,World Championship 2024,Q4,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,1,0,0,1,0,76.0,58.0,World Championship 2024,Q5,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,3,0,0,1,0,76.0,58.0,World Championship 2024,Q6,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,1,0,0,1,0,76.0,58.0,World Championship 2024,Q7,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,2,0,0,1,0,76.0,58.0,World Championship 2024,Q8,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,3,0,0,1,0,76.0,58.0,World Championship 2024,Q9,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,18,0,0,1,1,76.0,58.0,World Championship 2024,Q10,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,2,0,0,1,0,76.0,58.0,World Championship 2024,Q11,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,3,0,0,1,0,76.0,58.0,World Championship 2024,Q12,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,3,0,0,1,0,76.0,58.0,World Championship 2024,Q13,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,2,0,0,1,0,76.0,58.0,World Championship 2024,Q14,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,3,0,0,1,0,76.0,58.0,World Championship 2024,Q15,FRA
,,"ERWAN FISCHER, CLEMENT PEQUIN",,49ER,1,0,0,1,0,76.0,58.0,World Championship 2024,Q16,FRA
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,5,0,0,2,0,116.0,96.0,World Championship 2024,Q1,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,4,0,0,2,0,116.0,96.0,World Championship 2024,Q2,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,1,0,0,2,0,116.0,96.0,World Championship 2024,Q3,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,7,0,0,2,0,116.0,96.0,World Championship 2024,Q4,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,4,0,0,2,0,116.0,96.0,World Championship 2024,Q5,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,1,0,0,2,0,116.0,96.0,World Championship 2024,Q6,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,1,0,0,2,0,116.0,96.0,World Championship 2024,Q7,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,1,0,0,2,0,116.0,96.0,World Championship 2024,Q8,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,20,0,0,2,1,116.0,96.0,World Championship 2024,Q9,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,16,0,0,2,0,116.0,96.0,World Championship 2024,Q10,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,3,0,0,2,0,116.0,96.0,World Championship 2024,Q11,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,20,0,0,2,0,116.0,96.0,World Championship 2024,Q12,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,4,0,0,2,0,116.0,96.0,World Championship 2024,Q13,NED
,,"BART LAMBRIEX, FLORIS VAN DE WERKEN",,49ER,1,0,0,2,0,116.0,96.0,World Championship 2024,Q14,NED
