Identificador,Nome Competição,Regata,Nome Competidor,Pontuação Regata (Nha),Classe Vela,Flag Name,Posição Geral,Pontuação Regata,Descarte,Punição,Flotilha,Total,Net,ID Competição
DERIN ATAKAN - Kite Fem. - World Championship 2024,World Championship 2024,Q1,DERIN ATAKAN,13.0-0-0,Kite Fem.,Silver,1,13.0,0,0,GERAL,162.0,162.0,
HELOISE PEGOURIE - Kite Fem. - World Championship 2024,World Championship 2024,Q1,HELOISE PEGOURIE,13.0-0-0,Kite Fem.,Silver,2,13.0,0,0,GERAL,165.0,165.0,
ZOE BOUTANG - Kite Fem. - World Championship 2024,World Championship 2024,Q1,ZOE BOUTANG,6.0-0-0,Kite Fem.,Silver,3,6.0,0,0,GERAL,189.0,189.0,
JUSTINA KITCHEN - Kite Fem. - World Championship 2024,World Championship 2024,Q1,JUSTINA KITCHEN,8.0-0-0,Kite Fem.,Silver,4,8.0,0,0,GERAL,207.0,207.0,
ALEXIA FANCELLI - Kite Fem. - World Championship 2024,World Championship 2024,Q1,ALEXIA FANCELLI,18.0-0-0,Kite Fem.,Silver,5,18.0,0,0,GERAL,204.0,204.0,
NOORA RUSKOLA - Kite Fem. - World Championship 2024,World Championship 2024,Q1,NOORA RUSKOLA,13.0-0-SP1,Kite Fem.,Silver,6,13.0,0,SP1,GERAL,204.0,204.0,
MAFALDA PIRES DE LIMA - Kite Fem. - World Championship 2024,World Championship 2024,Q1,MAFALDA PIRES DE LIMA,11.0-0-0,Kite Fem.,Silver,7,11.0,0,0,GERAL,223.0,223.0,
DERIN DENIZ SORGUC - Kite Fem. - World Championship 2024,World Championship 2024,Q1,DERIN DENIZ SORGUC,14.0-0-0,Kite Fem.,Silver,8,14.0,0,0,GERAL,226.0,226.0,
CATALINA TURIENZO - Kite Fem. - World Championship 2024,World Championship 2024,Q1,CATALINA TURIENZO,16.0-0-0,Kite Fem.,Silver,9,16.0,0,0,GERAL,266.0,266.0,
ANAIS MAI DESJARDINS - Kite Fem. - World Championship 2024,World Championship 2024,Q1,ANAIS MAI DESJARDINS,16.0-0-0,Kite Fem.,Silver,10,16.0,0,0,GERAL,272.0,272.0,
MARINA VODISEK - Kite Fem. - World Championship 2024,World Championship 2024,Q1,MARINA VODISEK,19.0-0-0,Kite Fem.,Silver,11,19.0,0,0,GERAL,305.0,305.0,
ELLA GEIGER - Kite Fem. - World Championship 2024,World Championship 2024,Q1,ELLA GEIGER,18.0-0-0,Kite Fem.,Silver,12,18.0,0,0,GERAL,309.0,309.0,
